database_version,material_id,formula,composition_key,elements,n_elements,spacegroup_no,crystal_system,e_above_hull,band_gap,theoretical,icsd_ids,pauling_ids,last_updated,disposition,disposition_reason,ranking_score,ensemble_spread,ad_distance,screen_rank,evidence_state
2026.04.13,mp-694995,LiMgCr3(SO4)6,Cr:0.08571429|Li:0.02857143|Mg:0.02857143|O:0.68571429|S:0.17142857,Cr;Li;Mg;O;S,5,2,Triclinic,0.0077065388928607,2.6414,True,,,2021-02-09 10:56:49.525000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-7.360975994689552,0.3693620089905737,3.4476811252637063,194,not_applicable
2026.04.13,mp-695469,Li3Cr13Ni3(SO4)24,Cr:0.09352518|Li:0.02158273|Ni:0.02158273|O:0.69064748|S:0.17266187,Cr;Li;Ni;O;S,5,1,Triclinic,0.0284804068255368,2.2487,True,,,2020-04-29 08:17:39.472000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-6.4498715194122,0.3284252039126679,4.0912973546126095,140,not_applicable
2026.04.13,mp-696123,Li10Sn(PS6)2,Li:0.40000000|P:0.08000000|S:0.48000000|Sn:0.04000000,Li;P;S;Sn,4,105,Tetragonal,0.0350227293000005,2.0004,True,,,2021-02-23 18:52:49.124000+00:00,obelix_composition_reference,measured composition in OBELiX,-2.3569796899287256,0.03182728703920429,0.0240337522292279,6,not_applicable
2026.04.13,mp-696128,Li10Ge(PS6)2,Ge:0.04000000|Li:0.40000000|P:0.08000000|S:0.48000000,Ge;Li;P;S,4,105,Tetragonal,0.0298671299000004,2.0551,True,,,2023-10-08 02:30:39.784000+00:00,obelix_composition_reference,measured composition in OBELiX,-2.2252999373353903,0.024128474197937105,0.0,1,not_applicable
2026.04.13,mp-696129,Li10Si(PS6)2,Li:0.40000000|P:0.08000000|S:0.48000000|Si:0.04000000,Li;P;S;Si,4,105,Tetragonal,0.0178478503999999,2.3831,True,,,2021-02-24 17:23:26.648000+00:00,obelix_composition_reference,measured composition in OBELiX,-2.786333968295455,0.05951042865141882,0.14462196175338457,8,not_applicable
2026.04.13,mp-696138,Li10Ge(PS6)2,Ge:0.04000000|Li:0.40000000|P:0.08000000|S:0.48000000,Ge;Li;P;S,4,1,Triclinic,0.0187605339,2.3653,True,,,2021-02-22 23:41:10.625000+00:00,obelix_composition_reference,measured composition in OBELiX,-2.2252999373353903,0.024128474197937105,0.0,2,not_applicable
2026.04.13,mp-704145,Li2Mn2(SO4)3,Li:0.10526316|Mn:0.10526316|O:0.63157895|S:0.15789474,Li;Mn;O;S,4,61,Orthorhombic,0.0077311981578906,4.4239,False,icsd-93650,,2020-04-29 10:49:16.051000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-6.321964080056696,0.28523418945707085,3.033487903157583,124,not_applicable
2026.04.13,mp-720509,Li10Si(PS6)2,Li:0.40000000|P:0.08000000|S:0.48000000|Si:0.04000000,Li;P;S;Si,4,1,Triclinic,0.0067197429999996,2.5638,True,,,2021-02-23 03:33:39.501000+00:00,obelix_composition_reference,measured composition in OBELiX,-2.786333968295455,0.05951042865141882,0.14462196175338457,9,not_applicable
2026.04.13,mp-721236,Li10Sn(PS6)2,Li:0.40000000|P:0.08000000|S:0.48000000|Sn:0.04000000,Li;P;S;Sn,4,1,Triclinic,0.0233750875000007,2.339,True,,,2021-02-20 13:58:19.270000+00:00,obelix_composition_reference,measured composition in OBELiX,-2.3569796899287256,0.03182728703920429,0.0240337522292279,7,not_applicable
2026.04.13,mp-722181,KLiS,K:0.33333333|Li:0.33333333|S:0.33333333,K;Li;S,3,194,Hexagonal,0.0489662016666669,2.7753,False,icsd-27465,,2021-05-22 03:54:33.029000+00:00,screen_candidate,outside OBELiX composition set,-5.795971996487188,0.33723332437584824,13.648313305342356,76,extrapolative
2026.04.13,mp-753195,Li2WS4,Li:0.28571429|S:0.57142857|W:0.14285714,Li;S;W,3,121,Tetragonal,0.0315461942857133,1.9871,True,,,2023-10-08 04:36:33.785000+00:00,redox_electronic_risk,W,-6.024220813617544,0.31714556020978035,10.900119699432995,94,not_applicable
2026.04.13,mp-753371,LiCuS,Cu:0.33333333|Li:0.33333333|S:0.33333333,Cu;Li;S,3,139,Tetragonal,0.0485701570138878,1.8048,True,,,2023-10-07 05:58:33.743000+00:00,redox_electronic_risk,Cu,-7.3099130622077935,0.3527264792868809,5.214030190723422,190,not_applicable
2026.04.13,mp-753520,Li3BiS3,Bi:0.14285714|Li:0.42857143|S:0.42857143,Bi;Li;S,3,33,Orthorhombic,0.0381694296428563,2.2533999999999996,True,,,2021-02-24 09:12:16.238000+00:00,screen_candidate,outside OBELiX composition set,-6.872826272147765,0.27705860008824756,8.507954906645585,168,unflagged
2026.04.13,mp-753546,Li8TiS6,Li:0.53333333|S:0.40000000|Ti:0.06666667,Li;S;Ti,3,185,Hexagonal,0.0034980028333322,2.2894,True,,,2022-04-29 00:52:38.225000+00:00,screen_candidate,outside OBELiX composition set,-6.625391072063249,0.25864928297195666,5.4187095033241395,153,unflagged
2026.04.13,mp-753677,Li3BiS3,Bi:0.14285714|Li:0.42857143|S:0.42857143,Bi;Li;S,3,161,Trigonal,0.048694122142856,2.558,True,,,2021-02-24 06:21:34.735000+00:00,screen_candidate,outside OBELiX composition set,-6.872826272147765,0.27705860008824756,8.507954906645585,169,unflagged
