label,formula,Family,ens_mean,ens_std,kind,sigma300_mS_cm
mp-1147609,Li6Zn3(PS4)4,unknown,-5.707750761218972,0.23639265006877386,mp,
mp-1147610,Li6Zn3(PS4)4,unknown,-5.687821583314621,0.23950742402118813,mp,
mp-1147611,Li6Zn3(PS4)4,unknown,-5.677039381070129,0.24861313508789745,mp,
mp-1147613,Li6Zn3(PS4)4,unknown,-5.707750761218972,0.23639265006877386,mp,
mp-1147614,Li6Zn3(PS4)4,unknown,-5.707750761218972,0.23639265006877386,mp,
mp-1147616,Li6Zn3(PS4)4,unknown,-5.684105954840081,0.2400214330672,mp,
mp-1147617,Li6Zn3(PS4)4,unknown,-5.83739811505673,0.21171727262957604,mp,
mp-641703,Li7P3S11,sulfides,-6.29481966371022,0.3000757493346041,mp,
mp-1211324,Li7PS6,sulfides,-7.10885407250035,0.42184303568527226,mp,
mp-754856,Li7Y7ZrS16,unknown,-6.091632269586798,0.26884208005728566,mp,
mp-753546,Li8TiS6,unknown,-4.8921912886933985,0.3929992209758338,mp,
mp-1223032,Li9Nd2(PS4)5,unknown,-6.089642858959383,0.2891821049734899,mp,
mp-557964,Li9S3N,unknown,-5.550160687010596,0.43951901909587354,mp,
mp-1188124,LiAl(PS3)2,unknown,-6.459531225129171,0.145343878315468,mp,
mp-1106183,LiAlS2,thio-LISICON,-7.3398442876903065,0.4201760318987785,mp,
mp-1105750,LiAu(S2O7)2,unknown,-8.52292310121274,0.5252685890264974,mp,
mp-29829,LiAuS,unknown,-6.359025365467027,0.42051686269974686,mp,
mp-1020060,LiB(S2O7)2,unknown,-7.2190414971208865,0.31250870653285107,mp,
mp-1020106,LiB(SO4)2,unknown,-7.837841349774756,0.4884720033214677,mp,
mp-555090,LiBS4(ClO3)4,unknown,-6.5821408004775295,0.37709837206710345,mp,
mp-1222404,LiBiS2,unknown,-5.791084764548659,0.23279653402789763,mp,
mp-1188861,LiCSN,unknown,-7.562399052389232,0.23113733685713939,mp,
mp-15789,LiDyS2,unknown,-5.47519669739884,0.3559595917176342,mp,
mp-33667,LiDyS2,unknown,-5.888180157850195,0.4197661380003941,mp,
mp-555002,LiEr2S2O8F3,unknown,-7.582002401318202,0.6712197188673741,mp,
mp-15791,LiErS2,unknown,-5.469318756182246,0.3692843170004432,mp,
mp-35591,LiErS2,unknown,-5.854096546080384,0.4180533714671057,mp,
mp-3647,LiGaS2,thio-LISICON,-7.359772969437758,0.38936268215415004,mp,
mp-1211108,LiGd(SO4)2,unknown,-7.130695455433214,0.5687616142175905,mp,
mp-15790,LiHoS2,unknown,-5.468328962030257,0.3694767737643607,mp,
mp-1188392,LiInS2,unknown,-7.3567442375372085,0.2671280184358617,mp,
mp-557969,LiLa2S2O8F3,unknown,-7.683079064433123,0.7072845418194235,mp,
mp-1147554,LiLaSO,unknown,-6.341371110399099,0.3794997794670212,mp,
mp-677680,LiMgAl3(SO4)6,thio-LISICON,-8.14527423788721,0.39692297745913774,mp,
mp-1265272,LiMgAl3(SO4)6,thio-LISICON,-7.9919826497456965,0.46596494797772897,mp,
mp-1222350,LiMgSO4F,unknown,-6.970514720189497,0.5322288490162642,mp,
mp-36791,LiNdS2,unknown,-5.993023345125268,0.3696385826902443,mp,
mp-1222303,LiNdS2,unknown,-5.550165691339545,0.27954134934928765,mp,
mp-559719,LiPr(SO4)2,unknown,-8.868406859233945,0.5373191660050298,mp,
mp-675419,LiPrS2,unknown,-7.215721099934031,0.4025239910795288,mp,
mp-691187,LiPrS2,unknown,-6.784233879601726,0.31143388806855704,mp,
mp-7744,LiSO3F,unknown,-7.707372560403617,0.35703841350808785,mp,
mp-779809,LiSb(SO4)2,unknown,-7.993610463720465,0.3730324674757961,mp,
mp-34477,LiSmS2,unknown,-5.869438508499856,0.37778991888653835,mp,
mp-1222296,LiSmS2,unknown,-5.58204997984157,0.3736247634340009,mp,
mp-1176625,LiSn(SO4)2,thio-LISICON,-8.558956595814546,0.4554290238677684,mp,
mp-1222297,LiTbS2,unknown,-5.527725477340448,0.3154269962577809,mp,
mp-15788,LiYS2,unknown,-5.6508470284203804,0.3919117178829404,mp,
mp-33363,LiYS2,unknown,-5.850889533570873,0.33973013973586835,mp,
mp-11175,LiZnPS4,unknown,-5.7264838172584565,0.46204673278233793,mp,
mp-1203440,LiZnSO4F,unknown,-7.520381383985267,0.6747734798715417,mp,
mp-554395,Na5Li3(TiS4)2,unknown,-5.240388818478071,0.3895750911128701,mp,
mp-8452,NaLiS,unknown,-5.607888970774687,0.539349929974234,mp,
mp-6783,NaLiSO4,unknown,-8.326250962466725,0.7180878239996344,mp,
mp-1220972,NaLiZnS2,unknown,-4.936623029077834,0.49122183027679195,mp,
mp-553962,Rb2LiNbS4,unknown,-6.7127506143454765,0.37533695799278116,mp,
mp-556085,Rb2LiTaS4,unknown,-6.557901746876095,0.41669827621985417,mp,
mp-8751,RbLiS,unknown,-5.99259188900897,0.30785880918088265,mp,
mp-6211,RbLiSO4,unknown,-10.431172742234022,0.7782598250669706,mp,
mp-1199446,RbLiSO4,unknown,-10.484068965719514,0.5864692281016493,mp,
mp-1202217,RbLiSO4,unknown,-10.695915288197675,0.6364383384625462,mp,
mp-1219554,RbLiZnS2,unknown,-5.561702243761287,0.43983162048375773,mp,
mp-558219,SrLi(BS2)3,unknown,-6.500465161085754,0.22798299970488098,mp,
mp-557962,SrLiBS3,unknown,-6.934906388570392,0.4142806116409001,mp,
li20si3p3s23cl,Li20Si3P3S23Cl,LGPS,-4.482297740227487,0.2599000649483631,lead,30.1734397477967
li3ps4_gen016,Li3PS4,sulfides,-6.416406653233251,0.26965958041910204,lead,0.00010830595046488209
li8tis6,Li8TiS6,unknown,-4.8921912886933985,0.3929992209758338,lead,1.3794888169732335e-07
lips3_gen021,LiPS3,sulfides,-7.032369619594415,0.21966361411517843,lead,10.188717717771278
