training_definition,sample,n_records,MAE,RMSE,R2,Spearman,Kendall,bias
record_weighted,all_records,121,1.3530937664187177,1.9467061767541234,0.410996714425948,0.659696573704153,0.4926782123403626,-0.3634772158915882
record_weighted,target_domain,24,1.584995329362459,2.143844536125022,-0.33650021700259924,0.37516311439756417,0.3345454545454545,-0.5721206793310579
record_weighted,uncensored_records,113,1.356826692740677,1.9648028554653472,0.23928347778393277,0.6007410934988274,0.44462027542763005,-0.48127143875973927
composition_balanced,all_records,121,1.3689268135489643,1.9853144712765867,0.3874020768388081,0.6541001686328678,0.49074397370526307,-0.3934946285154235
composition_balanced,target_domain,24,1.6110190726657752,2.1487533395478406,-0.3426276462228599,0.3638538494997825,0.3272727272727272,-0.6771083116579731
composition_balanced,uncensored_records,113,1.375369590068397,2.003815750631385,0.2087741644954184,0.5954012281180424,0.4427215411553413,-0.5111200531468704
exclude_censored_training,all_records,121,1.3837614151580713,1.9707395077505887,0.3963636981689064,0.6475789339099719,0.4954414103905049,-0.0809352315219698
exclude_censored_training,target_domain,24,1.5652181017674638,2.162251266611371,-0.3595487239416095,0.3882122662026967,0.35636363636363627,-0.6557740919388312
exclude_censored_training,uncensored_records,113,1.297800967185619,1.90321318418902,0.2862275802510833,0.6027123522141642,0.4604430610300369,-0.270591017312478
