fraction,repeat_seed,n_train_records,n_train_compositions,MAE,RMSE,R2,Spearman,MAE_target_domain
0.1,0,46,39,1.7519742119921482,2.320690258218663,0.16295026739389018,0.29564279414771255,2.2061548375528024
0.1,1,52,39,1.6192673141083331,2.306594569785597,0.17308773380360576,0.35378361496573757,1.1761050559147819
0.1,2,51,39,1.4372461861253916,2.253276152231933,0.21087510546070287,0.6053663976625648,1.3524995649636162
0.1,3,46,39,1.6311512307719724,2.1245271767545653,0.2984776926794125,0.5119332382595833,1.330015445640618
0.1,4,51,39,1.570591567023843,2.1788599784527465,0.2621373161242415,0.5066949688129078,1.263668676338421
0.2,0,95,78,1.3549239325238056,2.029814218890246,0.3596322020852504,0.6286191031034376,1.385696410072711
0.2,1,103,78,1.4676646530718482,2.0531061079924227,0.34485158647942715,0.5896092145377491,1.2507676354194823
0.2,2,95,78,1.5009070226750072,2.018843032842714,0.3665358954839312,0.6147567273828545,1.2350736332198038
0.2,3,95,78,1.410135247256302,2.1034293288544923,0.31234159761053615,0.5881841854383059,1.2066966053785568
0.2,4,95,78,1.5316277102225582,2.0919304576263156,0.31983952663741344,0.5531644286115435,1.446873554476489
0.3,0,134,116,1.46814365115296,2.1386576589360287,0.2891148430650432,0.6202142755954301,1.4112423423940628
0.3,1,141,116,1.4587645470095145,2.0331526297556666,0.35752405956630284,0.6017646545602077,1.0828505124782362
0.3,2,140,116,1.5668344156094975,2.099553772489229,0.31487327641161,0.590690667480845,1.7384537026114366
0.3,3,148,116,1.2442957691584189,1.8156790958149418,0.4876165534437139,0.6674193021632322,1.4432264445743075
0.3,4,149,116,1.4352742570476185,1.9697338459778178,0.39697960814810107,0.5912703438248004,1.2640984328422304
0.4,0,189,155,1.5291987253239,2.1679181132428553,0.2695295505956379,0.5743702801500133,1.6346561279150347
0.4,1,203,155,1.3558767357525021,1.8709169541282622,0.4559661471934625,0.6719519957148028,1.3261462273745068
0.4,2,184,155,1.2694661799527234,1.8689027830607996,0.4571368965458126,0.6170809264227163,1.3111464987914276
0.4,3,192,155,1.292400695049594,1.9403980701983434,0.41480774218734917,0.6097859719618509,1.5180104083342318
0.4,4,182,155,1.2495021846868877,1.9315250327186497,0.420147430942301,0.6404794950017693,1.2255097014971656
0.5,0,240,194,1.3687953951625924,1.9995655696303258,0.3785757400862958,0.6240144098931074,1.6287571734089008
0.5,1,245,194,1.3772888221286335,1.9257066511823584,0.42363557831588816,0.6286697247839402,1.5536842998968652
0.5,2,231,194,1.3619151506157923,1.9089080405544057,0.43364737448714763,0.6368874966188242,1.6247426017366475
0.5,3,232,194,1.4610139326336238,2.06795511754019,0.3353406461512458,0.5364995633196442,1.4323303067133741
0.5,4,234,194,1.4071620517071075,1.9392356708991156,0.4155086533407393,0.6830951026553437,1.364044975572022
0.6,0,295,233,1.4954485979676388,2.03522975616785,0.35621064569961036,0.614397633583641,1.2994007656558202
0.6,1,280,233,1.36078469870241,1.9413602038735527,0.41422727081446975,0.6770267191973945,1.2925978852974345
0.6,2,292,233,1.4673040096040895,2.0662550449190085,0.33643303416745307,0.6210747456426021,1.5684972586046904
0.6,3,292,233,1.6008277197508145,2.159983758600872,0.27486665768665663,0.5477044295731032,1.5911729659149145
0.6,4,288,233,1.291493025334224,1.9417558633024679,0.4139884793520119,0.6435689232537145,1.5921478679257113
0.7,0,341,272,1.4420127608971702,1.9280493634929319,0.42223237669110647,0.6352962151623989,1.2753454992920055
0.7,1,332,272,1.4625526500198458,2.0352215945843937,0.35621580907734884,0.6334795162909107,1.615389672162286
0.7,2,337,272,1.4057390587601342,2.0529656522168724,0.3449412225976757,0.6478296203356833,1.642176832494994
0.7,3,336,272,1.3559472689523986,1.9340900689698124,0.41860633733051966,0.6558470321392078,1.7017386096410025
0.7,4,325,272,1.312442733314717,1.8796108076736122,0.4508983222116353,0.6790887202796955,1.3039909745350784
0.8,0,375,310,1.3254112209158397,1.932895740789766,0.41932415337537254,0.6566893465190814,1.7059494700221645
0.8,1,375,310,1.4005613653526412,1.930122291200526,0.42098934384059883,0.5918932929404753,1.490648779611055
0.8,2,378,310,1.4212993853467657,2.0356949877684336,0.35591628543552334,0.6009482201703915,1.584595056749408
0.8,3,386,310,1.4383722102920287,1.9648645353935401,0.39995733453272597,0.6420952836059987,1.7649569427286913
0.8,4,385,310,1.3369943759707856,1.9345066135501485,0.4183558810959822,0.6462757814993457,1.563404564000205
0.9,0,435,349,1.278877924627779,1.8587961377318079,0.4629924069493977,0.6629904775074055,1.525485810489054
0.9,1,420,349,1.355218328179752,1.9578863434975413,0.40421185424437733,0.6611001822669635,1.5421528574338552
0.9,2,433,349,1.3698600834854626,1.9402667863832983,0.41488692560270835,0.658972692169035,1.511502714009092
0.9,3,427,349,1.345772737191148,1.925396778377301,0.4238210533885287,0.630163883975526,1.532409999729764
0.9,4,426,349,1.3688520779829052,1.8902180877807935,0.4446833015033582,0.6752538695182829,1.4569040043676242
1.0,0,476,388,1.2911672497761757,1.899547344864717,0.43918819271396936,0.6570823682071374,1.468757233071951
