representation,fold,n_features,MAE,RMSE,R2,Spearman,Kendall,bias
M0_formula,1,134,0.8351036323939107,1.400178590515411,0.7842944178398583,0.9063869653584247,0.7626184888790738,0.10341037496954446
M0_formula,2,134,0.788058226243941,1.2229230954499177,0.7364886702778508,0.8655101929447692,0.7147123102485516,-0.018726115374978314
M0_formula,3,134,1.0788494467550052,1.6474212429578514,0.6875075866117155,0.8855900577264938,0.7060949700343813,0.1521751622013013
M0_formula,4,134,0.7711960440812874,1.2870393277810104,0.6992294388908644,0.8730447677805601,0.7051296498543361,-0.00922009416081409
M0_formula,5,134,0.7624051851480775,1.3359716617774382,0.7369951386822112,0.8787543724041862,0.7134844948987645,0.10228169063817188
M1_cell_normalized,1,143,0.8401959912732321,1.4506691705816575,0.7684571994747964,0.9139080325331388,0.7730579192292611,0.07572020112960198
M1_cell_normalized,2,143,0.7195016743708487,1.154806962667062,0.7650260129393206,0.8875306950508773,0.7373515356574875,0.0006082676470797003
M1_cell_normalized,3,143,1.0977415817082774,1.7001914731563932,0.6671674272062441,0.8873022204924866,0.7101900289397531,0.23591727265932044
M1_cell_normalized,4,143,0.7198043600143447,1.180490045561024,0.7469674751618247,0.9104541860331707,0.7428764490358307,5.418818216281003e-05
M1_cell_normalized,5,143,0.7580588957642614,1.3529140084296885,0.7302821613010305,0.8575740632523529,0.7057662711803164,0.11954143374617583
M2_legacy,1,144,0.8232866588810577,1.3904712966152195,0.787274979089684,0.9145470038507273,0.769164436717046,0.11434764417365785
M2_legacy,2,144,0.68586619547156,1.074995861189203,0.7963827427878656,0.8871271352135253,0.747719068909875,0.08486884567993135
M2_legacy,3,144,1.022467943066727,1.5459757336967657,0.7248081929079517,0.887448472797313,0.7181490743367355,0.16363139090909512
M2_legacy,4,144,0.7411289479458785,1.199378194330793,0.7388055238735511,0.9135437810820823,0.7454280687032555,0.05547672054144356
M2_legacy,5,144,0.752368152088119,1.4196295288180372,0.7030253820906607,0.871577992236424,0.718647323242568,0.13798136431547856
