candidate_rank,composition_key,formula,material_id,spacegroup_no,crystal_system,ranking_score,ensemble_spread,ad_distance,n_mp_entries,min_e_above_hull,max_band_gap,any_icsd_match,any_non_theoretical_entry,member_rank_q25,member_rank_median,member_rank_q75,member_rank_iqr,top_quartile_frequency,evidence_state,score_percentile,spread_percentile,ad_percentile,combined_risk_percentile
42,Li:0.25000000|S:0.50000000|Sm:0.25000000,LiSmS2,mp-1222296,166,Trigonal,-6.35377617316926,0.4500228549907231,12.211642952527036,2,0.0,2.2194999999999996,False,False,29.0,39.0,44.5,15.5,0.06666666666666667,extrapolative,0.3387096774193548,0.8548387096774194,0.7903225806451613,0.8548387096774194
43,Li:0.12500000|Nb:0.12500000|Rb:0.25000000|S:0.50000000,Rb2LiNbS4,mp-553962,2,Triclinic,-6.3632823379433905,0.3675991506615786,12.15432433697659,1,0.0,2.306,True,True,31.5,38.0,41.0,9.5,0.0,extrapolative,0.3225806451612903,0.6935483870967742,0.7580645161290323,0.7580645161290323
44,Li:0.44444444|S:0.44444444|Ti:0.11111111,Li4TiS4,mp-766540,62,Orthorhombic,-6.438284208286736,0.2382872356235137,5.5711151074456655,3,0.0,2.4707,False,False,36.0,44.0,46.0,10.0,0.0,unflagged,0.3064516129032258,0.3064516129032258,0.3709677419354839,0.3709677419354839
45,Li:0.37500000|Nb:0.12500000|S:0.50000000,Li3NbS4,mp-755309,215,Cubic,-6.525524201740136,0.30832930445300505,6.2367337959368925,1,0.007749648684209,2.7598,False,False,39.5,43.0,49.5,10.0,0.0,unflagged,0.2903225806451613,0.532258064516129,0.46774193548387094,0.532258064516129
46,Li:0.33333333|S:0.50000000|Te:0.16666667,Li2TeS3,mp-558731,14,Monoclinic,-6.553375314043691,0.2911494031360462,3.5468576330752013,1,0.0,1.8764999999999996,True,True,38.0,47.0,49.5,11.5,0.0,unflagged,0.27419354838709675,0.46774193548387094,0.0967741935483871,0.46774193548387094
47,Li:0.53333333|S:0.40000000|Ti:0.06666667,Li8TiS6,mp-753546,185,Hexagonal,-6.625391072063249,0.25864928297195666,5.4187095033241395,1,0.0034980028333322,2.2894,False,False,44.5,46.0,48.5,4.0,0.0,unflagged,0.25806451612903225,0.3870967741935484,0.3548387096774194,0.3870967741935484
48,Li:0.25000000|Nd:0.25000000|S:0.50000000,LiNdS2,mp-1222303,166,Trigonal,-6.781076002670205,0.45804030694881914,12.997154013789253,2,0.0134386003125026,2.1019,False,False,46.0,49.0,53.0,7.0,0.0,extrapolative,0.24193548387096775,0.9032258064516129,0.8548387096774194,0.9032258064516129
49,Li:0.25000000|Pr:0.25000000|S:0.50000000,LiPrS2,mp-675419,9,Monoclinic,-6.806782177321163,0.47300293225067264,13.78886327190342,2,0.0341688943750018,1.8884,False,False,48.0,49.0,52.0,4.0,0.0,extrapolative,0.22580645161290322,0.9193548387096774,0.9516129032258065,0.9516129032258065
50,As:0.14285714|Li:0.42857143|S:0.42857143,Li3AsS3,mp-28471,33,Orthorhombic,-6.815648762105939,0.31786266376104544,3.1130135917604562,1,0.0,2.2848999999999995,True,True,47.0,51.0,54.0,7.0,0.0,unflagged,0.20967741935483872,0.5645161290322581,0.08064516129032258,0.5645161290322581
51,B:0.22222222|Li:0.22222222|S:0.55555556,Li2B2S5,mp-29410,63,Orthorhombic,-6.870461691696273,0.302069116394726,6.057651914391317,1,0.0,2.4427000000000003,True,True,49.5,52.0,52.5,3.0,0.0,unflagged,0.1935483870967742,0.5,0.43548387096774194,0.5
52,Bi:0.14285714|Li:0.42857143|S:0.42857143,Li3BiS3,mp-753720,148,Trigonal,-6.872826272147765,0.27705860008824756,8.507954906645585,3,0.0251350499999993,2.558,False,False,46.0,52.0,55.5,9.5,0.0,unflagged,0.1774193548387097,0.43548387096774194,0.532258064516129,0.532258064516129
53,Al:0.25000000|Li:0.25000000|S:0.50000000,LiAlS2,mp-1106183,33,Orthorhombic,-6.890379429038136,0.4121289468575302,4.555839578711731,1,0.0,4.7954,True,False,46.0,52.0,54.0,8.0,0.0,extrapolative,0.16129032258064516,0.8064516129032258,0.27419354838709675,0.8064516129032258
54,B:0.16666667|Li:0.16666667|S:0.50000000|Sr:0.16666667,SrLiBS3,mp-557962,62,Orthorhombic,-7.020875352136717,0.5238563000460794,8.13124040822213,1,0.0008485134722171,2.392199999999999,True,True,48.5,52.0,55.5,7.0,0.0,extrapolative,0.14516129032258066,0.9516129032258065,0.5161290322580645,0.9516129032258065
55,C:0.25000000|K:0.16666667|Li:0.08333333|N:0.25000000|S:0.25000000,K2LiC3(SN)3,mp-1195085,33,Orthorhombic,-7.068654474346356,0.45735686751213456,13.08823880658601,1,0.007317217743056,4.4526,True,True,51.5,54.0,56.0,4.5,0.0,extrapolative,0.12903225806451613,0.8870967741935484,0.8709677419354839,0.8870967741935484
56,B:0.16666667|Ba:0.16666667|Li:0.16666667|S:0.50000000,BaLiBS3,mp-554076,14,Monoclinic,-7.218908100209343,0.5711879458507745,8.561405263889316,1,0.0,2.1531,True,True,51.5,54.0,58.0,6.5,0.0,extrapolative,0.11290322580645161,0.967741935483871,0.5806451612903226,0.967741935483871
57,B:0.27272727|Li:0.09090909|S:0.54545455|Sr:0.09090909,SrLi(BS2)3,mp-558219,9,Monoclinic,-7.409650934524838,0.6754466608701424,9.781056548601335,1,0.0,2.91,True,True,54.5,57.0,58.5,4.0,0.0,extrapolative,0.0967741935483871,0.9838709677419355,0.6612903225806451,0.9838709677419355
58,B:0.27272727|Ba:0.09090909|Li:0.09090909|S:0.54545455,BaLi(BS2)3,mp-557892,9,Monoclinic,-7.6517388981248935,0.7051898987356786,9.711395598312047,1,0.0,2.8639,True,True,56.5,59.0,60.5,4.0,0.0,extrapolative,0.08064516129032258,1.0,0.6451612903225806,1.0
59,B:0.28000000|Li:0.20000000|S:0.52000000,Li5B7S13,mp-532413,9,Monoclinic,-7.653397778052493,0.455407143149457,7.054339575674812,1,0.0,3.5527999999999995,False,False,57.0,59.0,60.0,3.0,0.0,extrapolative,0.06451612903225806,0.8709677419354839,0.4838709677419355,0.8709677419354839
60,C:0.25000000|Li:0.25000000|N:0.25000000|S:0.25000000,LiCSN,mp-1188861,62,Orthorhombic,-7.766497874662053,0.5220120415400317,10.422757001347833,1,0.0410096179464289,3.8556,True,True,56.5,60.0,60.5,4.0,0.0,extrapolative,0.04838709677419355,0.9354838709677419,0.6774193548387096,0.9354838709677419
61,Al:0.10000000|Li:0.10000000|P:0.20000000|S:0.60000000,LiAl(PS3)2,mp-1188124,15,Monoclinic,-7.8357339385364435,0.31467128199157324,6.0047387710739475,1,0.0,2.749142152725869,True,True,58.5,60.0,61.0,2.5,0.0,unflagged,0.03225806451612903,0.5483870967741935,0.41935483870967744,0.5483870967741935
62,B:0.14285714|Li:0.42857143|S:0.42857143,Li3BS3,mp-5614,62,Orthorhombic,-7.92696373734181,0.2306492495593855,3.017218706953638,1,0.0,3.0495,True,True,60.0,61.0,61.5,1.5,0.0,unflagged,0.016129032258064516,0.25806451612903225,0.06451612903225806,0.25806451612903225
