bin,mean_std,rmse,n
0,0.08077849476118402,0.5972193794099806,25
1,0.15909074464971218,0.8529762002807959,24
2,0.22870252146946965,1.8703812227007979,24
3,0.2999020882297125,2.1497762426863627,24
4,0.40772608301284463,2.8560630981787,24
