database_version,material_id,formula,composition_key,elements,n_elements,spacegroup_no,crystal_system,e_above_hull,band_gap,theoretical,icsd_ids,pauling_ids,last_updated
2026.04.13,mp-1222303,LiNdS2,Li:0.25000000|Nd:0.25000000|S:0.50000000,Li;Nd;S,3,166,Trigonal,0.013438600312502658,2.1019,True,,,2021-12-31 11:12:15.739000+00:00
2026.04.13,mp-1222350,LiMgSO4F,F:0.12500000|Li:0.12500000|Mg:0.12500000|O:0.50000000|S:0.12500000,F;Li;Mg;O;S,5,1,Triclinic,0.01124014046874855,5.9657,True,,,2021-02-05 14:15:27.890000+00:00
2026.04.13,mp-1222389,LiFeSO4F,F:0.12500000|Fe:0.12500000|Li:0.12500000|O:0.50000000|S:0.12500000,F;Fe;Li;O;S,5,1,Triclinic,0.009223795156249714,4.3426,True,,,2020-08-03 14:54:36.786000+00:00
2026.04.13,mp-1222404,LiBiS2,Bi:0.25000000|Li:0.25000000|S:0.50000000,Bi;Li;S,3,166,Trigonal,0.0,1.7886000000000006,True,,,2022-09-16 21:34:13.222000+00:00
2026.04.13,mp-1222472,LiFe(SO4)2,Fe:0.08333333|Li:0.08333333|O:0.66666667|S:0.16666667,Fe;Li;O;S,4,4,Monoclinic,0.023006616979173167,2.0509,True,,,2021-02-09 17:20:02.307000+00:00
2026.04.13,mp-1222482,Li6AsS5I,As:0.07692308|I:0.07692308|Li:0.46153846|S:0.38461538,As;I;Li;S,4,1,Triclinic,0.0,1.5398,True,,,2021-02-11 08:53:27.966000+00:00
2026.04.13,mp-1222529,Li4GeS4,Ge:0.11111111|Li:0.44444444|S:0.44444444,Ge;Li;S,3,19,Orthorhombic,0.0,2.9683,True,,,2021-12-30 05:02:23.582000+00:00
2026.04.13,mp-1222582,Li4GeS4,Ge:0.11111111|Li:0.44444444|S:0.44444444,Ge;Li;S,3,33,Orthorhombic,0.026120664722221854,2.5087,True,,,2021-02-09 11:22:30.400000+00:00
2026.04.13,mp-1223032,Li9Nd2(PS4)5,Li:0.25000000|Nd:0.05555556|P:0.13888889|S:0.55555556,Li;Nd;P;S,4,15,Monoclinic,0.0,2.6503000000000005,True,,,2021-02-24 01:20:05.929000+00:00
2026.04.13,mp-1225887,CsLiZnS2,Cs:0.20000000|Li:0.20000000|S:0.40000000|Zn:0.20000000,Cs;Li;S;Zn,4,119,Tetragonal,0.0,2.5019,True,,,2021-02-09 19:42:40.356000+00:00
2026.04.13,mp-1265272,LiMgAl3(SO4)6,Al:0.08571429|Li:0.02857143|Mg:0.02857143|O:0.68571429|S:0.17142857,Al;Li;Mg;O;S,5,2,Triclinic,0.01088115303571957,5.8981,True,,,2021-02-07 08:16:23.239000+00:00
2026.04.13,mp-1407369,LiCuS,Cu:0.33333333|Li:0.33333333|S:0.33333333,Cu;Li;S,3,43,Orthorhombic,0.004154272013887628,1.5952000000000002,True,,,2020-05-03 23:22:23.619000+00:00
2026.04.13,mp-14484,KNaLi2(SO4)2,K:0.07142857|Li:0.14285714|Na:0.07142857|O:0.57142857|S:0.14285714,K;Li;Na;O;S,5,19,Orthorhombic,0.0,5.2970999999999995,False,icsd-60824,,2021-02-08 07:47:37.778000+00:00
2026.04.13,mp-14646,Li2Mg2(SO4)3,Li:0.10526316|Mg:0.10526316|O:0.63157895|S:0.15789474,Li;Mg;O;S,4,60,Orthorhombic,0.0,5.6251999999999995,False,icsd-65025,,2023-03-15 04:07:15.722000+00:00
2026.04.13,mp-15788,LiYS2,Li:0.25000000|S:0.50000000|Y:0.25000000,Li;S;Y,3,166,Trigonal,0.0,1.9203999999999994,False,icsd-44957,,2023-10-07 05:00:20.147000+00:00
2026.04.13,mp-15789,LiDyS2,Dy:0.25000000|Li:0.25000000|S:0.50000000,Dy;Li;S,3,166,Trigonal,0.0,1.9346999999999999,False,icsd-44958,,2023-10-07 07:15:34.976000+00:00
2026.04.13,mp-15790,LiHoS2,Ho:0.25000000|Li:0.25000000|S:0.50000000,Ho;Li;S,3,166,Trigonal,0.0,1.9863000000000004,False,icsd-44959;icsd-639371,,2022-09-17 00:20:02.526000+00:00
2026.04.13,mp-15791,LiErS2,Er:0.25000000|Li:0.25000000|S:0.50000000,Er;Li;S,3,166,Trigonal,0.0,1.9964000000000004,False,icsd-44960;icsd-630736,,2023-10-07 08:02:10.838000+00:00
2026.04.13,mp-15999,Li3AuS2,Au:0.16666667|Li:0.50000000|S:0.33333333,Au;Li;S,3,72,Orthorhombic,0.0,2.0985,False,icsd-280535,,2023-10-07 04:24:15.798000+00:00
2026.04.13,mp-19896,Li2GePbS4,Ge:0.12500000|Li:0.25000000|Pb:0.12500000|S:0.50000000,Ge;Li;Pb;S,4,121,Tetragonal,0.0,2.2649000000000004,False,icsd-281011,,2023-10-07 09:51:34.310000+00:00
2026.04.13,mp-2646995,Li3PS4,Li:0.37500000|P:0.12500000|S:0.50000000,Li;P;S,3,121,Tetragonal,0.007420595312500389,2.9579000000000004,True,,,2022-06-21 22:43:41.950000+00:00
2026.04.13,mp-28471,Li3AsS3,As:0.14285714|Li:0.42857143|S:0.42857143,As;Li;S,3,33,Orthorhombic,0.0,2.2848999999999995,False,icsd-424835;icsd-59381,,2022-04-29 20:37:33.108000+00:00
2026.04.13,mp-29410,Li2B2S5,B:0.22222222|Li:0.22222222|S:0.55555556,B;Li;S,3,63,Orthorhombic,0.0,2.4427000000000003,False,icsd-401723,,2021-03-13 08:26:32.336000+00:00
2026.04.13,mp-29829,LiAuS,Au:0.33333333|Li:0.33333333|S:0.33333333,Au;Li;S,3,70,Orthorhombic,0.0,1.5804,False,icsd-165259;icsd-280534,,2022-06-07 02:05:18.043000+00:00
2026.04.13,mp-30249,Li4GeS4,Ge:0.11111111|Li:0.44444444|S:0.44444444,Ge;Li;S,3,62,Orthorhombic,7.778083333409569e-05,2.4834,False,icsd-290831;icsd-95649,,2022-04-30 03:13:20.122000+00:00
2026.04.13,mp-33363,LiYS2,Li:0.25000000|S:0.50000000|Y:0.25000000,Li;S;Y,3,141,Tetragonal,0.005742223749999553,1.9596999999999998,True,,,2023-10-07 15:39:54.748000+00:00
2026.04.13,mp-33667,LiDyS2,Dy:0.25000000|Li:0.25000000|S:0.50000000,Dy;Li;S,3,141,Tetragonal,0.0052540974999999435,1.9741999999999997,True,,,2023-10-07 11:17:30.107000+00:00
